"OTU"	"RL725.mf"	"RL704.mf"	"RL703.mf"	"RL700.mf"	"RL693.mf"	"RL691.mf"	"RL686.mf"	"RL683.mf"	"RL682.mf"	"RL680.mf"	"RL679.mf"	"RL668.mf"	"RL667.mf"	"RL665.mf"	"RL663.mf"	"RL659.mf"	"RL656.mf"	"RL654.mf"	"RL651.mf"	"RL641.mf"	"RL628.mf"	"RL627.mf"	"RL625.mf"	"RL621.mf"	"RL619.mf"	"RL616.mf"	"RL613.mf"	"RL610.mf"	"RL607.mf"	"RL606.mf"	"RL605.mf"	"RL601.mf"	"RL591.mf"	"RL585.mf"	"RL573.mf"	"RL569.mf"	"RL568.mf"	"RL528.mf"	"RL518.mf"	"RL516.mf"	"RL514.mf"	"RL511.mf"	"RL509.mf"
"1"	"Absiella_dolichum"	0	0	0	0	0	0	0	0.000147360044797454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"Acidaminococcus_fermentans"	0	0	0	0	0	0	0	0	0	0.00359017375674056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	"Acidaminococcus_intestini"	0	0	0	0	0	0	0	0	0	0	0	0	0.000816965261716548	0	0.0570464503756569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000400937302315636	0
"4"	"Actinomyces_odontolyticus"	0.000101032002170485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"Adlercreutzia_equolifaciens"	0.000265634702335883	0	0	0	5.11319331705633e-05	4.85236674187835e-05	0	0	0	0	0	0	0	0	0	2.13604468605483e-05	0	0	0.000364597814511518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"Agathobaculum_butyriciproducens"	9.08152828498744e-05	0	0.00844499078057775	0.00125656436336048	0	0.000723811372330187	0.00143847375945448	0.00962261092527372	0.000431553067949992	0.000838825644098262	0	0.000242792584644544	0.000391222801385389	0.00138543109824061	0	2.84805958140644e-05	0.00203498048234333	0	0.000207217462923812	0	0.00255857092184147	0.0066875719953923	0	0	0	0.00739131317643714	0.0125964127607138	0.00185883293087574	0	0.00178874550532061	0.00138772230946207	0.00516768355104214	0.000728749580354876	0	0.00846886653505061	0	0	0	0.0270124257158293	0.000360663621062755	0	0.00219179058599214	0
"7"	"Akkermansia_muciniphila"	0	0	0	0.00119136526903517	0.000383489498779225	0.000541847619509749	0	0	0.00547941622639535	0	0	0	0.00693845144809969	0.0101563557953729	0	0	0	0	0.000165249369167091	0	0	0	0	0	0	0	0	0.00469051300314438	0.00932405236240099	0	0	0	0	0.00578810067293155	0.00103412616339193	0	0.0108207149277467	0	0	0	0	0	0
"8"	"Alistipes_finegoldii"	3.74613041755732e-05	0	0.00031960663798402	0	0	0	0	6.87680209054784e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133098250708705	0	0	0	0	0	0
"9"	"Alistipes_indistinctus"	0	0	0	0	0	0.000642938593298882	0	0.000545232165750578	0	0	5.39089370235798e-05	0	0.000586834202078083	0	0	0.000836617502038143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"Alistipes_inops"	0	0	0	0	0	0.00010715643221648	0	0	0	0	0	0	0	0.0041771268450713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000507811333154106	0	0	0	0	0	0	0
