Pathway	RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL518-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL585-mf	RL591-mf	RL601-mf	RL605-mf	RL606-mf	RL607-mf	RL610-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL641-mf	RL651-mf	RL654-mf	RL656-mf	RL659-mf	RL663-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL682-mf	RL683-mf	RL686-mf	RL691-mf	RL693-mf	RL700-mf	RL703-mf	RL704-mf	RL725-mf
1CMET2-PWY: folate transformations III (E. coli)	16.0969	147.561	13.7316	35.1407	122.426	18.1145	75.3854	41.0677	132.737	111.966	148.886	110.588	19.0846	48.5622	78.6128	52.1178	56.3015	52.5219	152.657	477.307	131.932	173.264	122.894	220.452	148.363	15.8781	79.3695	108.054	134.591	54.7708	190.297	215.183	170.872	424.072	311.473	116.154	146.878	164.8	118.755	336.482
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85549
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.60557	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90284	0	0	0	0	0	0	2.19249	0	0	3.02197	1.80332	0	2.34378	0	0	0	1.96427	5.20723
ANAEROFRUCAT-PWY: homolactic fermentation	16.3725	86.8788	14.7047	61.7613	157.663	59.4611	80.5509	101.847	216.558	122.783	126.345	253.386	50.2277	77.9841	92.5747	88.0954	98.7607	128.354	383.314	739.066	213.968	385.864	69.67	407.234	182.695	95.5308	137.319	168.157	158.598	96.3078	412.295	322.729	144.58	286.34	154.471	176.615	198.135	377.057	203.031	182.154
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	65.2798	337.333	73.3449	147.745	312.814	88.6818	149.981	148.851	384.389	306.345	265.246	423.827	84.7743	149.762	150.591	129.752	191.282	283.541	742.219	1653.39	365.135	633.132	129.962	633.122	312.737	184.405	228.153	275.729	228.852	191.093	665.722	561.033	298.108	1502.05	423.72	295.41	341.85	495.905	265.285	379.04
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	0	0	0	0	0	0	20.2513	7.07964	7.3122	0	0	0	0	0	0	0	0	15.8038	0	0	24.0735	0	0	14.0562	0	7.09646	0	6.84441	0	19.9415	0	36.9096	18.1145	49.8277	0	17.4946	56.274	24.2777	90.5435
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.50437
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	15.2019	0	0	42.6003	6.41515	8.56194	28.2087	40.8035	52.6914	69.6769	7.55709	4.61575	20.873	25.0075	19.1135	28.5134	5.52517	77.5487	254.362	60.065	70.6785	13.1674	34.602	47.5782	12.8624	21.7554	32.2794	39.7059	21.3947	27.1464	46.0782	65.3945	18.86	172.522	38.6523	10.4929	109.122	63.7379	145.903
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0	96.9752	0	27.1723	96.4228	0	21.1573	33.1012	153.06	60.9093	97.9096	101.967	0	35.0139	16.7876	36.0063	64.5554	14.3338	198.591	363.532	66.1107	96.7084	87.2694	91.7813	118.566	22.3751	70.5794	63.5931	95.2778	26.9302	229.158	138.581	153.994	420.473	242.29	76.9914	114.949	148.63	85.2665	278.278
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0	78.0039	0	24.3963	90.5809	0	17.2774	24.6834	147.489	45.1895	87.7349	86.1019	0	33.261	19.7757	29.4399	62.182	7.2503	182.98	340.729	70.6414	85.283	81.9099	69.2828	140.181	0	72.1868	59.8153	94.3552	22.6528	210.619	139.145	156.524	337.066	239.585	69.5498	110.867	134.89	87.6188	282.852
ARO-PWY: chorismate biosynthesis I	0	72.8614	0	35.4978	41.4351	7.08664	37.1241	59.8613	88.9271	68.0017	69.3832	91.4368	7.13119	27.0462	21.7655	33.5354	46.3277	19.5236	180.57	251.481	64.2457	97.2726	50.4202	98.9408	114.901	11.4713	43.513	38.5815	100.34	29.448	200.14	124.257	147.885	294.162	285.998	62.3125	131.4	138.536	81.188	341.789
