sample	Val	Leu/Ile	Phe	Tyr	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Prevotella.s__Prevotella_copri	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Prevotella.s__Prevotella_copri	COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Prevotella.s__Prevotella_copri	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Prevotella.s__Prevotella_copri	HISTSYN-PWY: L-histidine biosynthesis|g__Prevotella.s__Prevotella_copri	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_copri	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_copri	PWY-1042: glycolysis IV|g__Prevotella.s__Prevotella_copri	PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis|g__Prevotella.s__Prevotella_copri	PWY-2942: L-lysine biosynthesis III|g__Prevotella.s__Prevotella_copri	PWY-5097: L-lysine biosynthesis VI|g__Prevotella.s__Prevotella_copri	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_copri	PWY-5686: UMP biosynthesis I|g__Prevotella.s__Prevotella_copri	PWY-5695: inosine 5'-phosphate degradation|g__Prevotella.s__Prevotella_copri	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Prevotella.s__Prevotella_copri	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Prevotella.s__Prevotella_copri	PWY-6151: S-adenosyl-L-methionine salvage I|g__Prevotella.s__Prevotella_copri	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Prevotella.s__Prevotella_copri	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Prevotella.s__Prevotella_copri	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Prevotella.s__Prevotella_copri	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Prevotella.s__Prevotella_copri	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_copri	PWY-6609: adenine and adenosine salvage III|g__Prevotella.s__Prevotella_copri	PWY-6700: queuosine biosynthesis I (de novo)|g__Prevotella.s__Prevotella_copri	PWY-6703: preQ0 biosynthesis|g__Prevotella.s__Prevotella_copri	PWY-6897: thiamine diphosphate salvage II|g__Prevotella.s__Prevotella_copri	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Prevotella.s__Prevotella_copri	PWY-7790: UMP biosynthesis II|g__Prevotella.s__Prevotella_copri	PWY-7791: UMP biosynthesis III|g__Prevotella.s__Prevotella_copri	PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Prevotella.s__Prevotella_copri	PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_copri	PWY-7977: L-methionine biosynthesis IV|g__Prevotella.s__Prevotella_copri	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Prevotella.s__Prevotella_copri	RHAMCAT-PWY: L-rhamnose degradation I|g__Prevotella.s__Prevotella_copri	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_copri
RL514.mf	193.86	181.33	63.45	49.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL516.mf	168.55	146.51	77.77	42.19	0	0	0	5.51126	0	8.93542	0	7.07714	0	0	0	7.51514	0	0	0	0	0	0	0	0	0	0	6.52119	0	0	0	2.52184	0	0	0	0	0	0	0	0	11.0446
RL518.mf	249.82	224.5	82.83	61.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL528.mf	268.58	214.1	73.36	74.82	7.25061	23.5709	0	14.2113	0	33.4302	0	0	0	0	0	27.5209	0	0	0	0	0	0	0	0	0	0	19.4985	0	0	4.25014	4.34766	2.76644	0	0	0	0	0	0	0	43.8698
RL568.mf	232.64	217.79	71.63	54.3	0	7.90381	0	3.20996	0	9.37429	0	0	0	0	0	8.09926	2.76675	0	0	0	0	0	0	0	0	4.85434	4.30487	0	0	0	0	0	2.76675	2.76675	0	0	0	0	0	10.0065
RL569.mf	226.56	234.99	76.67	44.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL573.mf	218.24	190.08	77.55	53.71	3.269	20.1712	0	7.62759	0	25.4041	8.03486	23.3584	0	0	0	21.2575	6.46656	0	7.15741	0	0	0	7.15741	4.51965	7.31414	8.69013	8.57531	2.67834	0	0	6.91243	0	6.46656	6.46656	0	6.87647	0	1.72851	0	31.0143
RL585.mf	245.65	251.34	81.34	66	3.21738	16.0127	0	5.81961	0	20.1365	4.29599	15.143	0	4.64399	0	16.8792	4.02303	0	4.69231	0	0	0	4.69231	3.89301	4.1767	6.39191	7.42874	0	0	0	3.04981	0	4.02303	4.02303	0	3.68666	0	0	0	24.1821
RL591.mf	282.98	270.74	147.52	60.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL601.mf	162.21	167.44	80.3	67.7	27.612	137.856	0	106.913	0	195.716	54.0074	112.211	0	26.8072	0	166.774	40.6414	0	31.7957	0	0	0	31.7957	44.1566	48.5294	60.2373	64.4972	21.9746	0	5.19551	33.628	3.14403	40.6414	40.6414	0	46.7005	0	13.199	0	220.031
RL605.mf	254.89	273.71	88.16	55.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL606.mf	241.89	206.39	79.33	70.23	7.66871	49.4496	0	27.5113	0	68.5587	26.6561	60.011	0	10.613	0	55.9018	19.2779	0	18.6624	0	0	0	18.6624	21.1338	26.3225	29.7452	51.6986	14.5614	0	0	18.9413	0	19.2779	19.2779	0	25.6067	0	8.09953	0	89.2038
RL607.mf	236.67	228.94	105.41	63.23	0	10.7892	0	12.5492	0	11.5134	0	0	0	0	0	9.30488	0	0	0	0	0	0	0	0	0	0	12.276	0	0	0	0	0	0	0	0	0	0	0	0	16.9418
RL610.mf	284.99	260.01	78.85	50.29	0.937893	2.4038	0	0	0	2.41615	0	5.87638	0	0	0	2.0176	0	0	2.16273	0	1.74714	0	2.16273	0	0	0	1.49067	0.65035	0	0	1.04885	0	0	0	0	0	0	2.61364	1.12197	3.03992
