# Pathway	Prevotella	Butyrivibrio	Megasphaera	Val	Leu/Ile	Phe	Tyr	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Butyrivibrio.s__Butyrivibrio_crossotus	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_copri	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_sp_AM42_24	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_sp_CAG_1092	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella	PWY-5103: L-isoleucine biosynthesis III|g__Butyrivibrio.s__Butyrivibrio_crossotus	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_copri	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_sp_AM42_24	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_sp_CAG_1092	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella	PWY-6630: superpathway of L-tyrosine biosynthesis|g__Butyrivibrio.s__Butyrivibrio_crossotus	VALSYN-PWY: L-valine biosynthesis|g__Butyrivibrio.s__Butyrivibrio_crossotus	VALSYN-PWY: L-valine biosynthesis|g__Megasphaera.s__Megasphaera_elsdenii	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_copri	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_885	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_AM42_24	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_1092	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_279	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_617	VALSYN-PWY: L-valine biosynthesis|g__Prevotella
RL514.mf	0.086987459	0.040380681	0	193.86	181.33	63.45	49.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL516.mf	0.269511902	0	0	168.55	146.51	77.77	42.19	0	8.93542	0	6.80114	15.73656	0	7.51514	0	5.88461	13.39975	0	0	0	11.0446	0	0	7.7805	0	0	18.8251
RL518.mf	0.000540249	0	0	249.82	224.5	82.83	61.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL528.mf	0.41811609	0	0	268.58	214.1	73.36	74.82	0	33.4302	0	0	33.4302	0	27.5209	0	0	27.5209	0	0	0	43.8698	0	0	0	0	0	43.8698
RL568.mf	0.151455438	0.007588329	0	232.64	217.79	71.63	54.3	0	9.37429	0	0	9.37429	0	8.09926	0	0	8.09926	0	0	0	10.0065	0	0	0	0	0	10.0065
RL569.mf	0	0	0	226.56	234.99	76.67	44.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL573.mf	0.095029927	0	0	218.24	190.08	77.55	53.71	0	25.4041	0	0	25.4041	0	21.2575	0	0	21.2575	0	0	0	31.0143	0	0	0	0	0	31.0143
RL585.mf	0.247117066	0.066011028	0	245.65	251.34	81.34	66	3.97944	20.1365	0	0	20.1365	3.13238	16.8792	0	0	16.8792	0	6.05005	0	24.1821	0	0	0	4.00155	0	28.18365
RL591.mf	0	0	0	282.98	270.74	147.52	60.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL601.mf	0.646132427	0	0	162.21	167.44	80.3	67.7	0	195.716	0	0	195.716	0	166.774	0	0	166.774	0	0	0	220.031	24.3795	0	0	0	0	244.4105
RL605.mf	0.111638608	0	0	254.89	273.71	88.16	55.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
