RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL591-mf	RL605-mf	RL607-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL651-mf	RL656-mf	RL659-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL683-mf	RL691-mf	RL693-mf	RL703-mf	RL704-mf	RL725-mf
FASYN-ELONG-PWY:_fatty_acid_elongation_--_saturated	-0.00222418184360196	-3.58444295461933	-3.58444295461933	0.910734126081486	-3.58444295461933	-0.140494234030318	3.28961624852182	-3.58444295461933	2.33988975827072	-3.58444295461933	-0.256295840585699	0.422429519196654	-3.58444295461933	2.08918130610073	-0.156783151048373	3.44003187333277	1.04196697742934	-3.58444295461933	1.20560442652829	-1.09885125743681	-3.58444295461933	0.402377520460032	0.914203642224809	0.128823946574445	2.36667387333836	0.598519425716934	4.97673804955718	2.81556547977092	3.38783612879498
PWY-5723:_Rubisco_shunt	-2.31651504244807	-2.31651504244807	-2.31651504244807	0.61683853124383	-2.31651504244807	-2.31651504244807	2.95289967930459	1.87121312177222	-0.00648036339951252	-2.31651504244807	-2.31651504244807	2.59978005940377	-0.669651949451843	0.977558665107169	-2.31651504244807	2.15370292381586	1.70554200279538	-2.31651504244807	-2.31651504244807	-0.159377527827075	-2.31651504244807	-2.31651504244807	1.57529295858737	0.872178632817758	1.7661960613462	0.561354824457301	4.77393617223127	2.62186015046819	3.58533656670439
PWY-6284:_superpathway_of_unsaturated_fatty_acids_biosynthesis_(E._coli)	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	3.74546139237896	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	3.96200007675041	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	-1.49479950281556	2.30874786729615	1.75391899808371	3.44086767642246	1.96668976704169	5.34714846430519	3.2079466827087	4.16320913132396
PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate	-0.947039828000642	-0.947039828000642	-0.947039828000642	-0.947039828000642	-0.947039828000642	-0.947039828000642	1.47979115725069	-0.947039828000642	-0.947039828000642	-0.947039828000642	-0.947039828000642	-0.947039828000642	-0.947039828000642	1.08250140137907	-0.947039828000642	3.32164158124981	-0.947039828000642	-0.947039828000642	-0.947039828000642	-0.947039828000642	-0.947039828000642	-0.947039828000642	1.27742343476032	-0.947039828000642	1.94935409729058	-0.947039828000642	4.88929588096142	2.41640882554126	3.47142000958035
PWY-4041:_&gamma;-glutamyl_cycle	-0.696318259040184	-0.663383519570734	-3.50011358057851	-0.165525283510294	-3.50011358057851	-3.50011358057851	1.42947860688146	0.346128984531003	1.93092429379979	-3.50011358057851	-3.50011358057851	-1.33402483191562	-0.641531753474363	0.829756291739149	-1.21708377020398	2.13818909971298	0.814285675776739	0.387011969275691	-0.24359048249502	0.22876472321409	-0.154261644389855	-1.68888918566615	1.71280199465778	0.731203616574152	3.08596807740648	1.51711352919347	4.2303905219514	2.58258049423747	2.3405787542071
PWY-5136:_fatty_acid_&beta;-oxidation_II_(plant_peroxisome)	-1.7043646731913	-1.7043646731913	-1.7043646731913	-1.7043646731913	-1.7043646731913	-1.7043646731913	2.24721379703903	-1.7043646731913	2.11140542439617	-1.7043646731913	-1.7043646731913	-1.7043646731913	-1.7043646731913	1.1783448853241	-1.7043646731913	3.38005256636292	0.7437909572564	-1.7043646731913	0.568921441195964	0.357211088167473	-0.125648116019578	-1.7043646731913	2.20907050909144	-1.7043646731913	2.32652753902596	-1.7043646731913	5.19097430592583	3.40554327091434	3.6764271023807
TCA:_TCA_cycle_I_(prokaryotic)	-2.39446776421488	-2.39446776421488	-2.39446776421488	1.80899966302965	-2.39446776421488	-0.290117684043582	4.23928746393636	-2.39446776421488	1.26567363869545	-2.39446776421488	-2.39446776421488	0.679162267525772	-2.39446776421488	-2.39446776421488	-2.39446776421488	3.86076857650712	-2.39446776421488	-2.39446776421488	1.8655127126976	1.59998524345381	-2.39446776421488	0.52590748332097	1.29411546303127	-2.39446776421488	2.42050812489169	1.35837714634608	6.47020126190662	3.05627831267461	3.36788902503493
PWY0-862:_(5Z)-dodecenoate_biosynthesis_I	0.0284032166853199	-3.38910098451185	-3.38910098451185	0.994250798086973	-3.38910098451185	-0.249004580534914	3.26064092036835	-3.38910098451185	2.2794635228065	-3.38910098451185	-0.396827432261702	0.332785659718546	-3.38910098451185	1.94979403009251	-0.325256391731972	3.41875621712353	0.883825472964882	-3.38910098451185	1.11158636208281	-1.223102245366	-3.38910098451185	0.295078158584761	0.756242248375881	-0.00667443155452085	2.24658666751923	0.46588206196162	5.07146549028838	2.85006980399485	3.3688423268898
PWY-5367:_petroselinate_biosynthesis	-1.24971674765734	0.971538588096839	-1.24971674765734	-1.24971674765734	-1.24971674765734	-1.24971674765734	2.32239680882689	-1.24971674765734	-1.24971674765734	-1.24971674765734	-1.24971674765734	-1.24971674765734	-1.24971674765734	-1.24971674765734	-1.24971674765734	2.87046927987452	-1.24971674765734	-1.24971674765734	-1.24971674765734	-1.24971674765734	0.545164865039973	-1.24971674765734	1.58813165661742	1.20797734488241	2.53550944894079	1.27673773300523	3.88386321708583	2.13962290435069	3.15348961111152
PWY-5913:_partial_TCA_cycle_(obligate_autotrophs)	-2.78929087621131	-2.78929087621131	-2.78929087621131	1.34525865825314	-2.78929087621131	-0.281516529008658	3.53774432576827	-2.78929087621131	-0.541563835374985	-2.78929087621131	-2.78929087621131	-0.718382958319974	-0.0721836932047588	1.35053875647558	2.75759432571053	2.64469007829681	2.13615793523311	-0.324847394424411	0.388389369842249	0.380646949129924	-2.78929087621131	-0.940244390149503	1.76003328775658	-2.78929087621131	1.00266901957013	0.808335640259594	5.22820795732329	2.28530446890062	2.35678591386427
